ID,SMILES
0190,NCC1=CC(N)=CC=C1
0191,COC1=CC(OC)=CC(N)=C1
0192,NC1=CC=C(Cl)C=C1CO
0193,NC1=C(Cl)C=C(C=C1)C(O)=O
0194,NC1=C2C=C(O)C=CC2=CC=C1
0195,NC1=C(C=CC=C1C#N)N(=O)=O
0196,NC1=CC=CC(C#N)=C1N
0197,CC1=CC(N)=CC=C1Cl
0198,CC1=C(N)C(=CC(Cl)=C1)C(O)=O
0199,NC1=CC=C(CO)C=C1
0200,CCOC(=O)CC1=CC=C(N)C=C1
0201,COC1=C(C(N)=CC=C1)N(=O)=O
0202,NC1=C(C=CC=C1C(O)=O)N(=O)=O
0203,CC1=CC=CC(Cl)=C1N
0204,NC1=CC=CC2=C1C(=O)NNC2=O
0205,CC1=C(N)C=CC=C1C(F)(F)F
0206,NC1=C(C=C(C=C1)C(O)=O)C(O)=O
0207,COC1=C(N)C(O)=CC=C1
0208,COC(=O)C1=CC=C(Cl)C=C1N
0209,NC(=O)C1=CC(N)=CC=C1
0210,CNCC1=CC=CC(N)=C1
0211,Cl.CC(=O)C1=CC=CC(N)=C1O
0212,NC1=CC=CC=C1CCO
0213,NC(=O)C1=C(N)C=CC(Cl)=C1
0214,CC1=C(N)C(O)=CC=C1
0215,NC1=CC=CC2=C1C=CC=C2N(=O)=O
0216,COC1=CC(N)=C(Cl)C=C1
0217,CC1=CC=C(C(O)=O)C(N)=C1
0218,COC1=CC=CC(C)=C1N
0219,Cl.CC(C)OC1=CC=C(N)C=C1
0220,Cl.NC1=CC=C(OCC2CC2)C=C1
0221,CC1=CC(N)=C(Cl)C=C1
0222,Cl.CN(C)CC1=CC=C(N)C=C1
0223,CC1=C(C=C(N)C=C1Cl)N(=O)=O
0224,COC(=O)C1=CC=CC(Cl)=C1N
0225,COC1=CC(C(O)=O)=C(N)C=C1
0226,CC1=C(Cl)C(=C(N)C=C1)N(=O)=O
0227,COC1=CC(N)=C(C=C1)C(O)=O
0228,COC1=C(F)C=C(N)C(=C1)C(O)=O
0229,NC1=CC(S)=CC=C1
0230,NC1=C(C=CC(F)=C1)C#N
0231,CC1=CC=C(O)C=C1N
0232,CCOC(=O)C1=CC=C(F)C(N)=C1
0233,NC1=CC=C(F)C(O)=C1
0234,CC1=C(N)C=CC(=C1)S(C)(=O)=O
0235,CC(C)(O)C1=C(N)C=CC=C1
0236,NC1=CC=CC2=CN=CC=C12
0237,NC1=CC(F)=C(F)C=C1N
0238,CC1=CC=C(C#N)C(N)=C1
0239,CC1=CC(F)=CC(N)=C1
0240,NC1=CC(F)=C(C=C1F)N(=O)=O
0241,COC(=O)C1=C(C)C=CC(N)=C1
0242,NC1=C(C=CC(=C1)N(=O)=O)C(O)=O
0243,NC1=C(C=CC(=C1)C(F)(F)F)C#N
0244,NC1=C(F)C(F)=C(F)C(F)=C1F
0245,NC(=O)C1=C(N)C=CC(=C1)N(=O)=O
0246,NC1=C(F)C(F)=CC(F)=C1F
0247,NC1=C(F)C=CC(F)=C1
0248,COC1=CC(N)=C2N=CC=CC2=C1
0249,NC1=C(F)C=CC(=C1)C(F)(F)F
0250,NC1=C(Cl)C=CC(=C1)C(O)=O
0251,NC1=C(C=CC=C1)C(=O)C1=CC=CC=C1
0252,CC1=C(N)C=CC=C1F
0253,NC1=CC(F)=C(F)C=C1
0254,COC1=CC=CC(N)=C1
0255,NC1=C(C=C(F)C=C1)N(=O)=O
0256,NC1=C(C=C(F)C=C1)C(F)(F)F
0257,CC1=C(N)C=CC(Cl)=C1
0258,CCOC1=CC=C(N)C=C1
0259,Cl.NC1=CC=C(C=C1)C(F)(F)F
0260,NC1=CC=C(CC#N)C=C1
0261,COC1=CC(N)=CC(OC)=C1OC
0262,CCOC1=CC=C(N)C=C1OCC
0263,NC1=C(O)C=C(CO)C=C1
0264,CC(C)(C)C1=C(N)C=CC=C1
0265,CCOC1=CC=CC(N)=C1
0266,CCC1=CC(C)=CC(CC)=C1N
0267,CC(C)OC1=CC=C(N)C(O)=C1
0268,COC1=C(O)C=C(N)C=C1
0269,CC1=CC(O)=C(N)C=C1Cl
0270,NC1=C(O)C=C(C(Cl)=C1)N(=O)=O
0271,CC1=C(Cl)C=C(O)C(N)=C1
0272,COC1=C(Cl)C=C(O)C(N)=C1
0273,NC1=CC(F)=C(Cl)C=C1O
0274,NC1=C(N)C=C(C=C1)S(O)(=O)=O
0275,CCC1=CC(C)=C(N)C(CC)=C1N
0276,CC1=CC=C(C(O)=O)C(=C1N)N(=O)=O
0277,CC1=C(N)C=CC(=C1)S(N)(=O)=O
0278,NC1=CC(=CC(N)=C1)C(F)(F)F
0279,NC1=CC(=CC=C1)C#C
0280,COC1=C(F)C=CC=C1N
0281,NC1=C(NC2=CC=CC=C2)C=CC=C1
0282,NC1=C(C#N)C(F)=CC=C1
0283,COC(=O)C1=C(Cl)C=C(N)C=C1
0284,NC1=C(C#N)C(Cl)=CC=C1
0285,COC1=CC(=CC=C1N)C(O)=O
0286,CNC1=C(C=CC=C1N)N(=O)=O
0287,COC(=O)C1=CC(O)=C(N)C=C1
0288,NC1=C(C=C(Cl)C=C1)C#N
0289,COC(=O)C1=CC(OC)=C(N)C=C1
0290,CCOC1=C(N)C=CC(F)=C1
0291,CC(C)OC1=C(N)C=CC(F)=C1
0292,CCOC1=CC=C(N)C(F)=C1
0293,CC(C)OC1=CC(F)=C(N)C=C1
0294,NC1=C(F)C=C(Cl)C=C1F
0295,CCCOC1=C(N)C=CC(F)=C1
0296,NC1=CC(F)=C(F)C(F)=C1F
0297,CC1=C(OC2=C(N)C=CC=C2)C=CC=C1
0298,CC1=C(F)C=CC(N)=C1
0299,NC1=CC=C(C(O)=O)C(=C1)N(=O)=O
0300,NC1=CC2=C(COC2=O)C=C1
